facname,number,street,address,city,borough,latitude,longitude
CITY OF FAITH CHRISTIAN SCHOOL,3445,WHITE PLAINS ROAD,3445 WHITE PLAINS ROAD,BRONX,BRONX,40.8766622,-73.86743404
"NEW YORK UNITED JEWISH ASSOCIATION,INC.",121-10,ROCKAWAY BOULEVARD,121-10 ROCKAWAY BOULEVARD,SOUTH OZONE PARK,QUEENS,40.67517172,-73.81674142
"FUND FOR THE CITY OF NEW YORK, INC.",60,BAY STREET,60 BAY STREET,STATEN ISLAND,STATEN ISLAND,40.64048032,-74.07624708
SANCTUARY FOR FAMILIES INC,198,EAST 161 STREET,198 EAST 161 STREET,BRONX,BRONX,40.82583828,-73.9211028
OCEAN PARKWAY MALLS,,,,BROOKLYN,BROOKLYN,40.61205374,-73.96907048
ST. ANTHONY OF PADUA CHURCH,1496,COMMONWEALTH AVENUE,1496 COMMONWEALTH AVENUE,BRONX,BRONX,40.83786402,-73.86889543
UNITED LUBAVITCHER YESHIVOTH,841,OCEAN PARKWAY,841 OCEAN PARKWAY,BROOKLYN,BROOKLYN,40.6278028,-73.97050283
SALEM UNITED METHODIST CHURCH,211,WEST 129 STREET,211 WEST 129 STREET,NEW YORK,MANHATTAN,40.81201169,-73.94705202
P.S. 101 SCHOOL IN THE GARDENS,2,RUSSELL PLACE,2 RUSSELL PLACE,FOREST HILLS,QUEENS,40.71554762,-73.84346126
CENTER FOR ALTERNATIVE SENTENCING AND EMPLOYMENT SERVICES IN,2090,ADAM CLAYTON POWELL JR BOULEVARD,2090 ADAM CLAYTON POWELL JR BOULEVARD,NEW YORK,MANHATTAN,40.80875321,-73.94892824
NEW TRIPLE S SUMMER CAMP,5795,TYNDALL AVENUE,5795 TYNDALL AVENUE,BRONX,BRONX,40.90532148,-73.90182214
NYC PARKS-LOST BATTALLION HALL,93-29,QUEENS BOULEVARD,93-29 QUEENS BOULEVARD,REGO PARK,QUEENS,40.73180427,-73.86551323
"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",350,GRAND STREET,350 GRAND STREET,NEW YORK,MANHATTAN,40.71734074,-73.98932346
Z139 RICHMOND PREK CTR SPECIAL ED,,,841 FATHER CAPODANNO BLVD,STATEN ISLAND,STATEN ISLAND,40.57556692,-74.08373835
WILLIAMSBURG MONTESSORI,450,KENT AVENUE,450 KENT AVENUE,BROOKLYN,BROOKLYN,40.70888536,-73.96882011
LEGGETT MEMORIAL EARLY CHILDHOOD CENTER,237,EAST 104 STREET,237 EAST 104 STREET,NEW YORK,MANHATTAN,40.78990906,-73.94416351
MOSHOLU MONTEFIORE COMMUNITY CENTER INC,3512,DEKALB AVENUE,3512 DEKALB AVENUE,BRONX,BRONX,40.88250809,-73.87983205
SAMUEL FIELD YM & YWHA INC,61-21,97 PLACE,61-21 97 PLACE,REGO PARK,QUEENS,40.73410834,-73.8610043
UNION SETTLEMENT ASSOCIATION INC,237,EAST 104 STREET,237 EAST 104 STREET,NEW YORK,MANHATTAN,40.78990906,-73.94416351
SHEEPSHEAD BAY RENAL CARE CENTER,26,BRIGHTON 11 STREET,26 BRIGHTON 11 STREET,BROOKLYN,BROOKLYN,40.58195518,-73.95665166
P.S. 058 THE CARROLL,330,SMITH STREET,330 SMITH STREET,BROOKLYN,BROOKLYN,40.68039157,-73.99550935
"HIGH DEFINITION DAY CARE, INC.",1967,BEDFORD AVENUE,1967 BEDFORD AVENUE,BROOKLYN,BROOKLYN,40.65693641,-73.95631233
NEW LIFE HOLINESS CARING HANDS FOOD PANTRY,4401,BARNES AVENUE,4401 BARNES AVENUE,BRONX,BRONX,40.89777995,-73.85178908
COOPER UNION,30,COOPER SQUARE,30 COOPER SQUARE,NEW YORK,MANHATTAN,40.72812207,-73.99161172
NAYEMA UNIVERSAL CHILD CENTER INC.,1107,NEWKIRK AVENUE,1107 NEWKIRK AVENUE,BROOKLYN,BROOKLYN,40.63450061,-73.9665524
9TH AVENUE SUBWAY STATION (DUAL SYSTEM BRT),,,,BROOKLYN,BROOKLYN,40.64631498,-73.9943661
"SWEET JANE PRODUCTIONS, INC.",37,GRAND AVENUE,37 GRAND AVENUE,BROOKLYN,BROOKLYN,40.6965022,-73.96433983
THE NOEL POINTER FOUNDATION INC.,168,MORNINGSIDE AVENUE,168 MORNINGSIDE AVENUE,NEW YORK,MANHATTAN,40.81256935,-73.95362184
EAST SIDE HOUSE INC,4124,9 AVENUE,4124 9 AVENUE,NEW YORK,MANHATTAN,40.87145594,-73.91174562
EXODUS TRANSITIONAL COMMUNITY INC,2268,THIRD AVENUE,2268 THIRD AVENUE,NEW YORK,MANHATTAN,40.80278142,-73.93686254
BEDFORD CENTRAL PRESBYTERIAN CHURCH,1200,DEAN STREET,1200 DEAN STREET,BROOKLYN,BROOKLYN,40.6765519,-73.9495613
BIRCH FAMILY SERVICES,104,WEST 29 STREET,104 WEST 29 STREET,NEW YORK,MANHATTAN,40.74671191,-73.99080221
LET'S PLAY AND LEARN,371,4 AVENUE,371 4 AVENUE,BROOKLYN,BROOKLYN,40.67226675,-73.98672106
KNICKERBOCKER HOTEL,,,,NEW YORK,MANHATTAN,40.75532338,-73.98604224
"DIGITAL GIRL, INC.",214,STUYVESANT AVENUE,214 STUYVESANT AVENUE,BROOKLYN,BROOKLYN,40.68781428,-73.93338806
CHARLES GARAGE MGMT LLC,140,CHARLES STREET,140 CHARLES STREET,NEW YORK,MANHATTAN,40.73393953,-74.00812924
MARGARET TIETZ NURSING AND REHABILITATION CENTER,164-11,CHAPIN PARKWAY,164-11 CHAPIN PARKWAY,JAMAICA,QUEENS,40.71441941,-73.80195425
ORMOND PLACE PARKING CORP.,12,CLAVER PLACE,12 CLAVER PLACE,BROOKLYN,BROOKLYN,40.68263529,-73.9579749
NYCHA-MOTT HAVEN,340,ALEXANDER AVENUE,340 ALEXANDER AVENUE,BRONX,BRONX,40.81243991,-73.9229408
YOUNG DANCERS IN REPERTORY INC,8010,12 AVENUE,8010 12 AVENUE,BROOKLYN,BROOKLYN,40.61876474,-74.01328382
115TH POLICE PRECINCT,92-15,NORTHERN BOULEVARD,92-15 NORTHERN BOULEVARD,EAST ELMHURST,QUEENS,40.756853,-73.875655
SUNSHINE DEV-SHARON BAPT HS BATHGATE,1925,BATHGATE AVENUE,1925 BATHGATE AVENUE,BRONX,BRONX,40.84738041,-73.89718964
RENAISSANCE TECHNICAL INSTITUTE INC,173,EAST 112 STREET,173 EAST 112 STREET,NEW YORK,MANHATTAN,40.79575927,-73.94203484
P.S. 255 BARBARA REING SCHOOL,1866,EAST 17 STREET,1866 EAST 17 STREET,BROOKLYN,BROOKLYN,40.60439468,-73.95592291
SOUTHSIDE UNITED HDFC INC,145,SOUTH 3 STREET,145 SOUTH 3 STREET,BROOKLYN,BROOKLYN,40.71240918,-73.96161089
USDA-CEO P075Q AT PS 239Q ANNEX,869,CYPRESS AVENUE,869 CYPRESS AVENUE,RIDGEWOOD,QUEENS,40.6996864,-73.90500065
BRONX CRIMINAL/FAMILY COURT,900,SHERIDAN AVENUE,900 SHERIDAN AVENUE,BRONX,BRONX,40.826902,-73.92029
MACEDONIA CHILD DEVELOPMENT CENTER,47-49,162 STREET,47-49 162 STREET,FLUSHING,QUEENS,40.75013743,-73.80516784
NYL CLEARVIEW SCHOOL,146-28,JASMINE AVENUE,146-28 JASMINE AVENUE,FLUSHING,QUEENS,40.75293799,-73.81358343
"UBW, INC.",138,SOUTH OXFORD STREET,138 SOUTH OXFORD STREET,BROOKLYN,BROOKLYN,40.68514086,-73.97354594
HAMILTON MADISON HOUSE EARLYLEARN CENTER 5,253,SOUTH STREET,253 SOUTH STREET,NEW YORK,MANHATTAN,40.71031695,-73.99038749
BULKHEAD-E 59TH ST TO E 63RD,,F D R DRIVE,F D R DRIVE,NEW YORK,MANHATTAN,40.759506,-73.957626
P.S. 390 ( Q390 ),56-10,214 STREET,56-10 214 STREET,OAKLAND GARDENS,QUEENS,40.7498355,-73.76497001
PENN SOUTH SOCIAL SERVICES INC,290,9 AVENUE,290 9 AVENUE,NEW YORK,MANHATTAN,40.74865592,-73.99923012
REHAB PROGRAM (TAFT REHABS),146,SAINT NICHOLAS AVENUE,146 SAINT NICHOLAS AVENUE,NEW YORK,MANHATTAN,40.80432688,-73.95244486
WEST MIDTOWN MANAGEMENT GROUP OP 1,311,WEST 35 STREET,311 WEST 35 STREET,NEW YORK,MANHATTAN,40.75328924,-73.99344845
HI-TECH RESOURCE RECOVERY INC,130,VARICK AVENUE,130 VARICK AVENUE,BROOKLYN,BROOKLYN,40.71083381,-73.92802232
QUALITY FIRST MEDICAL CENTER,6010,BAY PARKWAY,6010 BAY PARKWAY,BROOKLYN,BROOKLYN,40.61657112,-73.97903874
SMART START EARLY CHILDHOOD CENTER,8411,FORT HAMILTON PARKWAY,8411 FORT HAMILTON PARKWAY,BROOKLYN,BROOKLYN,40.62105217,-74.02306162
DARE2DRAW,23,WEST 73 STREET,23 WEST 73 STREET,NEW YORK,MANHATTAN,40.77767502,-73.97673249
ICAHN CHARTER SCHOOL 4,1500,PELHAM PARKWAY SOUTH,1500 PELHAM PARKWAY SOUTH,BRONX,BRONX,40.85670801,-73.84302825
VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,135,WEST 23 STREET,135 WEST 23 STREET,NEW YORK,MANHATTAN,40.74377925,-73.9942132
APPLE STORE ELECTRONICS DROP-OFF SITE,,,767 5 AVE,NEW YORK,MANHATTAN,40.763609,-73.972435
TOWERS PLAY-N-LEARN INC.,60-10,47 AVENUE,60-10 47 AVENUE,WOODSIDE,QUEENS,40.73956832,-73.90410558
SHAARE TORAH ELEMENTARY SCHOOL-GIRLS,222,OCEAN PARKWAY,222 OCEAN PARKWAY,BROOKLYN,BROOKLYN,40.64434482,-73.97492501
PARKSIDE SUMMER,1509,MORRIS AVENUE,1509 MORRIS AVENUE,BRONX,BRONX,40.84143878,-73.90976973
JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,71,JERSEY STREET,71 JERSEY STREET,STATEN ISLAND,STATEN ISLAND,40.64578192,-74.08775468
SANDWICH LINE TEXTILE DROP-OFF SITE,,,"214 W 97TH ST, NEW YORK, NY 10025, USA",NEW YORK,MANHATTAN,40.79472,-73.970443
CITY GROWERS INC,63,FLUSHING AVENUE,63 FLUSHING AVENUE,BROOKLYN,BROOKLYN,40.69863888,-73.97539645
CHILDREN'S MUSEUM OF MANHATTAN,212,WEST 83 STREET,212 WEST 83 STREET,NEW YORK,MANHATTAN,40.78586265,-73.97733162
P.S. 198 BROOKLYN,4105,FARRAGUT ROAD,4105 FARRAGUT ROAD,BROOKLYN,BROOKLYN,40.63739012,-73.9370563
PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,109-89,204 STREET,109-89 204 STREET,SAINT ALBANS,QUEENS,40.70571341,-73.75276367
P.S. 034 JOHN HARVARD,104-12,SPRINGFIELD BOULEVARD,104-12 SPRINGFIELD BOULEVARD,QUEENS VILLAGE,QUEENS,40.71090501,-73.73763885
MOSAIC PRE-K CENTER AT 104-04 CORONA AVENUE,104-04,CORONA AVENUE,104-04 CORONA AVENUE,CORONA,QUEENS,40.74379787,-73.85851569
"ONE PARKING GOTHAM, INC.",28-07,JACKSON AVENUE,28-07 JACKSON AVENUE,LONG ISLAND CITY,QUEENS,40.74894383,-73.93869278
COALITION FOR HISPANIC FAMILY SERVICES,215,HEYWARD STREET,215 HEYWARD STREET,BROOKLYN,BROOKLYN,40.70387687,-73.95347662
UNI. FACILITY CORP,4070,BROADWAY,4070 BROADWAY,NEW YORK,MANHATTAN,40.84358812,-73.93866663
J SANDRA SCHOOL OF BEAUTY,279,EAST 204 STREET,279 EAST 204 STREET,BRONX,BRONX,40.87370841,-73.87887602
2475 BOSTON RD TEXTILE DROP-OFF SITE,,,"2475 BOSTON RD, BRONX, NY, USA",BRONX,BRONX,40.862923,-73.866176
ST. GABRIEL SCHOOL,590,WEST 235 STREET,590 WEST 235 STREET,BRONX,BRONX,40.88562204,-73.91129999
BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,6809,20 AVENUE,6809 20 AVENUE,BROOKLYN,BROOKLYN,40.61446583,-73.98767887
12 SPENCER PARK LLC,18,SPENCER STREET,18 SPENCER STREET,BROOKLYN,BROOKLYN,40.69840361,-73.95620112
GRAND STREET SETTLEMENT INC,736,PARK AVENUE,736 PARK AVENUE,BROOKLYN,BROOKLYN,40.69757191,-73.94616041
HARRIET TUBMAN CHARTER SCHOOL,3565,THIRD AVENUE,3565 THIRD AVENUE,BRONX,BRONX,40.83224866,-73.90586583
ACHIEVEMENT FIRST CS 11,1485,PACIFIC STREET,1485 PACIFIC STREET,BROOKLYN,BROOKLYN,40.67765075,-73.94220356
P.S. 128 BENSONHURST,2075,84 STREET,2075 84 STREET,BROOKLYN,BROOKLYN,40.60499481,-73.9950806
145-55 GUY R BREWER BLVD TEXTILE DROP-OFF SITE,,,"145-55 GUY R BREWER BLVD, JAMAICA, NY, USA",JAMAICA,QUEENS,40.664568,-73.768617
UCP/NYC'S BRONX CHILDREN'S PROGRAM,1770,STILLWELL AVENUE,1770 STILLWELL AVENUE,BRONX,BRONX,40.85795964,-73.83319995
KENBEN INDUSTRIES LTD.,364,MASPETH AVENUE,364 MASPETH AVENUE,BROOKLYN,BROOKLYN,40.7187516,-73.92791122
RECONCILIATION SUMMER DAY CAMP,701,EAST 212 STREET,701 EAST 212 STREET,BRONX,BRONX,40.87861383,-73.86514225
CLINTON INSTITUTE,391,EAST 149 STREET,391 EAST 149 STREET,BRONX,BRONX,40.81644315,-73.91809133
MARCUS GARVEY POOL,,,,NEW YORK,MANHATTAN,40.80573499,-73.94273908
JACKSON HEIGHTS GREENMARKET FOOD DROP-OFF SITE,,,,JACKSON HEIGHTS,QUEENS,40.753687,-73.886999
HEBREW EDUCATIONAL SOCIETY OF BROOKLYN,9502,SEAVIEW AVENUE,9502 SEAVIEW AVENUE,BROOKLYN,BROOKLYN,40.63252028,-73.89068076
"JOAN MILLER AND THE CHAMBER ARTS DANCE PLAYERS, INC.",1380,RIVERSIDE DRIVE,1380 RIVERSIDE DRIVE,NEW YORK,MANHATTAN,40.8521056,-73.94125609
BETH ISRAEL MEDICAL CENTER MSW-OP,,,125TH STREET,NEW YORK,MANHATTAN,,
ENG 164  LAD 84 - PARKING,,DRUMGOOLE ROAD WEST,DRUMGOOLE ROAD WEST,STATEN ISLAND,STATEN ISLAND,40.535159,-74.195761
P.S. 32 BELMONT,690,EAST 183 STREET,690 EAST 183 STREET,BRONX,BRONX,40.85182041,-73.88622405
SIM -  QUEENS CC,,,139-09 BROOKVILLE BOULEVARD,SPRINGFIELD GARDENS,QUEENS,40.66628252,-73.73866132
TINY TREASURES DAYCARE,360,VAN DUZER STREET,360 VAN DUZER STREET,STATEN ISLAND,STATEN ISLAND,40.6295146,-74.07961784
WEILL CORNELL IMAGING AT NYP-WEST SIDE,2315,BROADWAY,2315 BROADWAY,NEW YORK,MANHATTAN,40.78702289,-73.97813076
CUNY STELLA AND CHARLES GUTTMAN COMM,50,WEST 40 STREET,50 WEST 40 STREET,NEW YORK,MANHATTAN,40.75280683,-73.98411082
FAR ROCKAWAY,16-37,CENTRAL AVENUE,16-37 CENTRAL AVENUE,FAR ROCKAWAY,QUEENS,40.60431265,-73.75247214
CENTER FOR FAMILY LIFE AT PS 94,5010,SIXTH AVENUE,5010 SIXTH AVENUE,BROOKLYN,BROOKLYN,40.64376145,-74.00871505
207TH STREET YARD - SIGNAL SERVICE BUILDING AND TOWER B (IND),,,,NEW YORK,MANHATTAN,40.86835467,-73.91313439
BRIGHT KIDS OF AMERICA LLC,113-15,76 ROAD,113-15 76 ROAD,FOREST HILLS,QUEENS,40.7183034,-73.83386574
BRIGHT HORIZONS AT WEST 53RD,525,WEST 52 STREET,525 WEST 52 STREET,NEW YORK,MANHATTAN,40.76684246,-73.99197343
2721 NEIGHBORHOOD PARKING LOT CORP.,2721,BRONXWOOD AVENUE,2721 BRONXWOOD AVENUE,BRONX,BRONX,40.86654947,-73.86192658
CCNS-BFFY @ OUR LADY OF SOLACE,2866,WEST 17 STREET,2866 WEST 17 STREET,BROOKLYN,BROOKLYN,40.57722943,-73.98510683
SCAN-HARBOR INC,1020,ANDERSON AVENUE,1020 ANDERSON AVENUE,BRONX,BRONX,40.83257732,-73.92650523
225-01 MERRICK BLVD TEXTILE DROP-OFF SITE,,,"225-01 MERRICK BLVD, ST. ALBANS, NY 11413, USA",SPRINGFIELD GARDENS,QUEENS,40.67754926,-73.74450036
GIRL SCOUT COUNCIL OF GREATER NEW YORK INC,40,WALL STREET,40 WALL STREET,NEW YORK,MANHATTAN,40.70701568,-74.00972988
JOHN ADAMS HIGH SCHOOL,101-01,ROCKAWAY BOULEVARD,101-01 ROCKAWAY BOULEVARD,OZONE PARK,QUEENS,40.6786828,-73.83691823
MOTT HAVEN,375,EAST 143 STREET,375 EAST 143 STREET,BRONX,BRONX,40.81284844,-73.92123567
BROOKLYN HISTORICAL SOCIETY,,,128 PIERREPOINT ST,BROOKLYN,BROOKLYN,40.69487552,-73.99231675
PARALLEL PRODUCTS OF NEW ENGLAND INC 136TH ST.,900,EAST 136 STREET,900 EAST 136 STREET,BRONX,BRONX,40.80110616,-73.9092586
PS 1,309,47 STREET,309 47 STREET,BROOKLYN,BROOKLYN,40.64922122,-74.01170036
MP EAST 91 LLC,1749,1 AVENUE,1749 1 AVENUE,NEW YORK,MANHATTAN,40.78000494,-73.94746079
IMPARK 353 LLC,353,4 AVENUE,353 4 AVENUE,BROOKLYN,BROOKLYN,40.67293391,-73.98616246
WOMEN'S LEAGUE COM. RESIDENCES,1556,38 STREET,1556 38 STREET,BROOKLYN,BROOKLYN,40.63755789,-73.9800999
PUBLICOLOR INC,4360,BROADWAY,4360 BROADWAY,NEW YORK,MANHATTAN,40.85337755,-73.93356321
ACS/FAMILY ASSESSMENT PROGRAM,,,QUEENS FAMILY COURT,JAMAICA,QUEENS,40.71562004,-73.79283002
PARK 108 LLC,234,WEST 108 STREET,234 WEST 108 STREET,NEW YORK,MANHATTAN,40.80231463,-73.96671111
ALLIANCE FOR CONEY ISLAND INC,1323,SURF AVENUE,1323 SURF AVENUE,BROOKLYN,BROOKLYN,40.57581109,-73.98217003
KIPS BAY BOYS AND GIRLS CLUB INC,625,CASTLE HILL AVENUE,625 CASTLE HILL AVENUE,BRONX,BRONX,40.81951468,-73.84885416
BWSO MANHATTAN SEWER MAINTENANCE,886,ST NICHOLAS AVENUE,886 ST NICHOLAS AVENUE,NEW YORK,MANHATTAN,40.83067,-73.941208
WEST BRONX RECREATION CENTER,,,1527 JESSUP AVE,BRONX,BRONX,40.8439891,-73.91872406
SYRIT COMPUTER SCHOOL SYSTEMS,1760,53 STREET,1760 53 STREET,BROOKLYN,BROOKLYN,40.62625748,-73.98398703
VICTORY VACATION BIBLE SCHOOL,1271,BURKE AVENUE,1271 BURKE AVENUE,BRONX,BRONX,40.87156822,-73.85010981
UNITED ACTIVITIES UNLIMITED UAU,221,BROADWAY,221 BROADWAY,STATEN ISLAND,STATEN ISLAND,40.63663899,-74.11692156
CROTONA PARKWAY AMBULATORY SURGERY CENTER,1976,CROTONA PARKWAY,1976 CROTONA PARKWAY,BRONX,BRONX,40.84295088,-73.884907
"WISER CHOICE LEARNING, INC.",311,SARATOGA AVENUE,311 SARATOGA AVENUE,BROOKLYN,BROOKLYN,40.67516887,-73.916333
"FAIRY TALE DAY CARE, INC.",99-17,63 ROAD,99-17 63 ROAD,REGO PARK,QUEENS,40.73281099,-73.85633807
P.S. 244 RICHARD R. GREEN,5404,TILDEN AVENUE,5404 TILDEN AVENUE,BROOKLYN,BROOKLYN,40.64793065,-73.92557452
COBBLE HILL SCHOOL OF AMERICAN STUDIES,347,BALTIC STREET,347 BALTIC STREET,BROOKLYN,BROOKLYN,40.68487404,-73.99088675
NE EAST 181ST STREET & MORRIS AVENUE FOOD DROP-OFF SITE,,,,BRONX,BRONX,40.85489479,-73.90380453
ST. FRANCIS DE CHANTAL SCHOOL,2962,HARDING AVENUE,2962 HARDING AVENUE,BRONX,BRONX,40.81615285,-73.81277986
LANTERN COMMUNITY SERVICES INC,507,EAST 176 STREET,507 EAST 176 STREET,BRONX,BRONX,40.84562847,-73.89728483
BRONX RIVER TRAIL,,,,BRONX,BRONX,40.8106719,-73.85983435
SAINT LUKE'S SCHOOL,,,16-01 150 STREET,WHITESTONE,QUEENS,,
OFFICES,17,BATTERY PLACE,17 BATTERY PLACE,NEW YORK,MANHATTAN,40.7056,-74.015837
LITTLE MUNCHKINS PLAYGROUP 56 INC,145,RUTLEDGE STREET,145 RUTLEDGE STREET,BROOKLYN,BROOKLYN,40.70209626,-73.95746153
ST. ELIZABETH CATHOLIC ACADEMY,94-16,85 STREET,94-16 85 STREET,OZONE PARK,QUEENS,40.68554892,-73.85655701
SALVATION ARMY ELECTRONICS DROP-OFF SITE,,,1294 SOUTHERN BLVD,BRONX,BRONX,40.830595,-73.891406
CHINESE AMERICAN PLANNING COUNCIL INC,115,CHRYSTIE STREET,115 CHRYSTIE STREET,NEW YORK,MANHATTAN,40.71868137,-73.99390782
53RD STERLING PARKING LLC,304,EAST 53 STREET,304 EAST 53 STREET,NEW YORK,MANHATTAN,40.75639722,-73.96696032
P.S. 123 SUYDAM,100,IRVING AVENUE,100 IRVING AVENUE,BROOKLYN,BROOKLYN,40.7041039,-73.92250409
TAYLOR ST - WYTHE AVE,80,CLYMER STREET,80 CLYMER STREET,BROOKLYN,BROOKLYN,40.70490096,-73.96564577
CAMP MACHNE NUCHEM,300,PENN STREET,300 PENN STREET,BROOKLYN,BROOKLYN,40.7056291,-73.95257337
ABRAHAM JOSHUA HESCHEL SCHOOL,30,WEST END AVENUE,30 WEST END AVENUE,NEW YORK,MANHATTAN,40.77249066,-73.98924514
MARINE PARK GOLF COURSE,2880,FLATBUSH AVENUE,2880 FLATBUSH AVENUE,BROOKLYN,BROOKLYN,40.59658794,-73.91940285
P.S. 108 SAL ABBRACCIAMENTO,200,LINWOOD STREET,200 LINWOOD STREET,BROOKLYN,BROOKLYN,40.68127784,-73.88431868
"FACES OF THE FUTURE EARLY LEARNING CENTER, LLC",1080,UTICA AVENUE,1080 UTICA AVENUE,BROOKLYN,BROOKLYN,40.64651913,-73.93018172
NECK ROAD STATION,,GRAVESEND NECK ROAD,GRAVESEND NECK ROAD,BROOKLYN,BROOKLYN,40.595187,-73.954976
P.S. 181 BROOKLYN,1023,NEW YORK AVENUE,1023 NEW YORK AVENUE,BROOKLYN,BROOKLYN,40.64810927,-73.94591289
MORRISANIA BAPTIST CHURCH,551,EAST 169 STREET,551 EAST 169 STREET,BRONX,BRONX,40.8326467,-73.9040854
ODYSSEY HOUSE MABON CLINIC,,,MABON BLDG #13,NEW YORK,MANHATTAN,40.786468,-73.939314
ANDRIES HUDDE,2500,NOSTRAND AVENUE,2500 NOSTRAND AVENUE,BROOKLYN,BROOKLYN,40.62378107,-73.94682234
P.S. 032 SAMUEL MILLS SPROLE,317,HOYT STREET,317 HOYT STREET,BROOKLYN,BROOKLYN,40.68015975,-73.99113977
SOUL CITY MOVEMENT,14,DUNHAM PLACE,14 DUNHAM PLACE,BROOKLYN,BROOKLYN,40.71112073,-73.96720446
P.S. 173,306,FORT WASHINGTON AVENUE,306 FORT WASHINGTON AVENUE,NEW YORK,MANHATTAN,40.845512,-73.93989947
COMMUNITY ACCESS - DAVIDSON AVE FOOD DROP-OFF SITE,1750,DAVIDSON AVENUE,1750 DAVIDSON AVENUE,BRONX,BRONX,40.84818212,-73.91284579
GETHSEMANE GARDEN,148,NEWPORT STREET,148 NEWPORT STREET,BROOKLYN,BROOKLYN,40.65901648,-73.90964379
MASBIA OF QUEENS,105-47,64 ROAD,105-47 64 ROAD,FOREST HILLS,QUEENS,40.73234408,-73.84978252
MOSDOS SATMAR BP SCHOOL FOR BOYS 2,507,OCEAN PARKWAY,507 OCEAN PARKWAY,BROOKLYN,BROOKLYN,40.6359562,-73.9720291
BUSHMAN STEPS,,,,NEW YORK,MANHATTAN,40.83213205,-73.94028661
P.S. 108 SAL ABBRACCIAMENTO,200,LINWOOD STREET,200 LINWOOD STREET,BROOKLYN,BROOKLYN,40.68127784,-73.88431868
PS 279 ANNEX,2240,WALTON AVENUE,2240 WALTON AVENUE,BRONX,BRONX,40.85726626,-73.90317571
CHINESE AMERICAN PLANNING COUNCIL INC,4101,EIGHTH AVENUE,4101 EIGHTH AVENUE,BROOKLYN,BROOKLYN,40.6458949,-73.99832695
BROOKLYN WHOLESALE MEAT MRKT/BFI,5600,1 AVENUE,5600 1 AVENUE,BROOKLYN,BROOKLYN,40.649021,-74.024956
THE CHILDREN'S AID SOCIETY,910,EAST 172 STREET,910 EAST 172 STREET,BRONX,BRONX,40.83391593,-73.89019024
"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.",34,WEST 139 STREET,34 WEST 139 STREET,NEW YORK,MANHATTAN,40.81553345,-73.93689603
"LAZ PARKING NEW YORK/NEW JERSEY, LLC",501,EAST 87 STREET,501 EAST 87 STREET,NEW YORK,MANHATTAN,40.7766845,-73.9461449
UNITED STATES SIERRA LEONEAN ASSOCIATION INC,141,PARK HILL AVENUE,141 PARK HILL AVENUE,STATEN ISLAND,STATEN ISLAND,40.61645894,-74.08144813
IGLESIA DE DIOS PENTECOSTAL,185-13,JAMAICA AVENUE,185-13 JAMAICA AVENUE,HOLLIS,QUEENS,40.7100161,-73.77363212
"INTERNATIONAL DEVELOPMENT INSTITUTE,",,,"157 WILLIAMS ST, 14TH FL",NEW YORK,MANHATTAN,40.71006,-74.00604
"CHERRY LANE ALTERNATIVE, INC.",38,COMMERCE STREET,38 COMMERCE STREET,NEW YORK,MANHATTAN,40.73125905,-74.00530988
CENTER FOR COMMUNITY ALTERNATIVES INC.,,,,,,,
PHIPPS SUMMER CAMP AT THE PLAZA,320,EAST 26 STREET,320 EAST 26 STREET,NEW YORK,MANHATTAN,40.73918281,-73.97858305
MEGAN JILL PAZNIK,275,WEST 22 STREET,275 WEST 22 STREET,NEW YORK,MANHATTAN,40.74460226,-73.99831717
RAINBOW CHILD DEV CENTER,,,133-20 AVERY AVENUE,FLUSHING,QUEENS,,
PROJECT HOPE CHARITIES,170-20,140 AVENUE,170-20 140 AVENUE,JAMAICA,QUEENS,40.67086255,-73.76933322
SERVICES FOR THE UNDERSERVED INC,1676,BROADWAY,1676 BROADWAY,BROOKLYN,BROOKLYN,40.68402677,-73.91286385
NEW YORK CONGREGATIONAL NURSING CENTER,135,LINDEN BOULEVARD,135 LINDEN BOULEVARD,BROOKLYN,BROOKLYN,40.65314435,-73.95429688
"PARSIFAL'S PRODUCTIONS, INC.",220,EAST 4 STREET,220 EAST 4 STREET,NEW YORK,MANHATTAN,40.72345751,-73.98353355
YESHIVA BETH JOSEPH ZVI DUSHINSKY,1010,45 STREET,1010 45 STREET,BROOKLYN,BROOKLYN,40.6409987,-73.9962558
1134 FULTON PARKING CORP,1134,FULTON STREET,1134 FULTON STREET,BROOKLYN,BROOKLYN,40.68071326,-73.95519296
UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,501,CARLTON AVENUE,501 CARLTON AVENUE,BROOKLYN,BROOKLYN,40.68292398,-73.97021379
EAST NEW YORK,404,PINE STREET,404 PINE STREET,BROOKLYN,BROOKLYN,40.67572761,-73.87151421
KUEI LUCK EARLY CHILDHOOD CENTER,99-39,66 AVENUE,99-39 66 AVENUE,REGO PARK,QUEENS,40.72893878,-73.8535407
"PRINCE STREET, HOUSE AT 203",,,,NEW YORK,MANHATTAN,40.72692759,-74.00280695
